text,target
"NASA space shuttle launch successful with satellite orbit insertion",0
"Graphics card GPU performance benchmarks in OpenGL rendering",1
"Federal tax reform bill passed in Senate after bipartisan debate",2
"Hockey playoff game goes into overtime after clutch goal",3
"Space exploration rover discovers evidence of ancient water channels on Mars",0
"NVIDIA announces next generation ray tracing hardware architecture",1
"Supreme court rules on constitutional privacy rights in digital age",2
"Basketball team wins championship with last second buzzer beater",3
"Astronomers detect distant exoplanet in habitable zone of red dwarf",0
"DirectX 12 API optimization for multi-core processor rendering pipeline",1
"Presidential candidate speech focuses on economic policy and employment",2
"Soccer stadium capacity expanded for upcoming world cup tournament",3
"Hubble space telescope captures stunning image of merging spiral galaxies",0
"Vulkan graphics API driver update released for Linux gaming desktops",1
"Congress debates healthcare budget and insurance subsidy extensions",2
"Baseball pitcher throws no-hitter in impressive shutout victory",3
